time,batteryLevel,batteryPercent,wirelessSignal,sensorsQuality,time,actionEye,actionUpperFace,powerUpperFace,actionLowerFace,powerLowerFace,time,engagement,excitement,longTermExcitement,stress,relaxation,interest,focus,isENG,isEXC,isSTR,isREL,isINT,isFOC,time,Pleasure,Arousal,Dominance,time,momentId,SAM-selectionP,SAM-selectionA,SAM-selectionD
,,,,,1.7184396E9,neutral,surprise,0.075157,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1.7184396E9,neutral,surprise,0.075157,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1.7184396E9,neutral,surprise,0.075157,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1.7184396E9,neutral,surprise,0.075157,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1.7184396E9,neutral,surprise,0.117053,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1.7184396E9,neutral,surprise,0.117053,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1.7184396E9,neutral,surprise,0.117053,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1.7184396E9,neutral,surprise,0.117053,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1.7184396E9,neutral,surprise,0.126732,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1.7184396E9,neutral,surprise,0.126732,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1.7184396E9,neutral,surprise,0.126732,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1.7184396E9,neutral,surprise,0.126732,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1.7184396E9,neutral,surprise,0.116188,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
1.7184396E9,4,82,1.0,[0-0-0-0-0-0],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1.7184396E9,neutral,surprise,0.116188,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1.7184396E9,neutral,surprise,0.116188,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1.7184396E9,neutral,surprise,0.116188,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1.7184396E9,neutral,surprise,0.106244,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1.7184396E9,neutral,surprise,0.106244,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1.7184396E9,neutral,surprise,0.106244,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1.7184396E9,neutral,surprise,0.106244,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1.7184396E9,neutral,surprise,0.090756,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1.7184396E9,neutral,surprise,0.090756,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1.7184396E9,neutral,surprise,0.090756,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1.7184396E9,neutral,surprise,0.090756,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1.7184396E9,neutral,surprise,0.087766,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1.7184396E9,neutral,surprise,0.087766,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1.7184396E9,neutral,surprise,0.087766,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1.7184396E9,neutral,surprise,0.087766,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1.7184396E9,neutral,surprise,0.128471,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
1.7184396E9,4,82,1.0,[0-4-0-0-0-0],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1.7184396E9,neutral,surprise,0.128471,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1.7184396E9,neutral,surprise,0.128471,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1.7184396E9,neutral,surprise,0.128471,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1.7184396E9,neutral,surprise,0.157273,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1.7184396E9,neutral,surprise,0.157273,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1.7184396E9,neutral,surprise,0.157273,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1.7184396E9,neutral,surprise,0.157273,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1.7184396E9,neutral,surprise,0.158134,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1.7184396E9,neutral,surprise,0.158134,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1.7184396E9,neutral,surprise,0.158134,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1.7184396E9,neutral,surprise,0.158134,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1.7184396E9,neutral,surprise,0.155895,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1.7184396E9,neutral,surprise,0.155895,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1.7184396E9,neutral,surprise,0.155895,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1.7184396E9,neutral,surprise,0.155895,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,1.7184396E9,-1,-1,-1,-1,-1,-1,-1,false,false,false,false,false,false,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,1.7184396E9,0,0,0,,,,,
