time,batteryLevel,batteryPercent,wirelessSignal,sensorsQuality,time,actionEye,actionUpperFace,powerUpperFace,actionLowerFace,powerLowerFace,time,engagement,excitement,longTermExcitement,stress,relaxation,interest,focus,isENG,isEXC,isSTR,isREL,isINT,isFOC,time,Pleasure,Arousal,Dominance,time,momentId,SAM-selectionP,SAM-selectionA,SAM-selectionD
,,,,,,,,,,,1722278321.6171,-1,-1,-1,-1,-1,-1,-1,false,false,false,false,false,false,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,1722278321.6171,0,0,0,,,,,
,,,,,1722278321.6171,neutral,frown,0.28463,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
1722278321.625,3,55,0.0,[4-4-4-4-4-100],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722278321.6489,neutral,frown,0.28463,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722278321.6807,neutral,frown,0.28463,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722278321.7123,neutral,frown,0.28463,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722278321.7438,neutral,frown,0.466363,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722278321.7751,neutral,frown,0.466363,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722278321.8064,neutral,frown,0.466363,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722278321.8379,neutral,frown,0.466363,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722278321.8693,neutral,frown,0.427733,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722278321.9007,neutral,frown,0.427733,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722278321.932,neutral,frown,0.427733,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722278321.9635,neutral,frown,0.427733,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722278321.9953,neutral,frown,0.318641,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722278322.027,neutral,frown,0.318641,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722278322.0587,neutral,frown,0.318641,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722278322.0904,neutral,frown,0.318641,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722278322.1221,neutral,frown,0.813645,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
1722278322.1221,3,55,0.0,[4-4-4-4-4-100],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722278322.1539,neutral,frown,0.813645,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722278322.1857,neutral,frown,0.813645,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722278322.2174,neutral,frown,0.813645,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722278322.2491,neutral,frown,0.705145,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722278322.2808,neutral,frown,0.705145,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722278322.3126,neutral,frown,0.705145,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722278322.3444,neutral,frown,0.705145,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722278322.376,neutral,frown,0.40021,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722278322.4077,neutral,frown,0.40021,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722278322.4394,neutral,frown,0.40021,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722278322.4712,neutral,frown,0.40021,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722278322.5029,neutral,frown,0.096735,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722278322.5346,neutral,frown,0.096735,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722278322.5663,neutral,frown,0.096735,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722278322.598,neutral,frown,0.096735,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722278322.6298,neutral,frown,0.122388,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
1722278322.6298,3,55,0.0,[4-4-4-4-4-100],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
