Time,Timestamp,Counter,Interpolated,Contact Quality,AF3,T7,Pz,T8,AF4
1722050305.6518,2024-07-26 20:18:25.651,99,false,0.0,4269.359, 4359.487, 4101.41, 4183.718, 4325.769
1722050305.6596,2024-07-26 20:18:25.659,100,false,0.0,4273.718, 4368.461, 4114.103, 4195.769, 4326.282
1722050305.6674,2024-07-26 20:18:25.667,101,false,0.0,4276.539, 4382.18, 4117.436, 4200.641, 4323.461
1722050305.6752,2024-07-26 20:18:25.675,102,false,0.0,4260.769, 4358.59, 4110.641, 4179.872, 4298.59
1722050305.683,2024-07-26 20:18:25.683,103,false,0.0,4255.897, 4346.923, 4122.051, 4179.359, 4292.18
1722050305.6909,2024-07-26 20:18:25.690,104,false,0.0,4270.897, 4373.077, 4142.564, 4200.128, 4315.385
1722050305.6987,2024-07-26 20:18:25.698,105,false,0.0,4277.18, 4369.744, 4141.154, 4199.359, 4328.718
1722050305.7065,2024-07-26 20:18:25.706,106,false,0.0,4272.564, 4344.231, 4124.487, 4191.923, 4330.897
1722050305.7143,2024-07-26 20:18:25.714,107,false,0.0,4272.949, 4357.308, 4122.82, 4201.41, 4336.41
1722050305.7221,2024-07-26 20:18:25.722,108,false,0.0,4273.718, 4369.231, 4132.436, 4206.154, 4339.872
1722050305.7299,2024-07-26 20:18:25.729,109,false,0.0,4272.692, 4351.026, 4130.0, 4202.564, 4351.795
1722050305.7377,2024-07-26 20:18:25.737,110,false,0.0,4275.641, 4354.487, 4121.282, 4205.641, 4365.256
1722050305.7455,2024-07-26 20:18:25.745,111,false,0.0,4275.897, 4369.615, 4119.231, 4206.923, 4352.308
1722050305.7534,2024-07-26 20:18:25.753,112,false,0.0,4274.103, 4355.641, 4115.0, 4200.0, 4335.385
1722050305.7612,2024-07-26 20:18:25.761,113,false,0.0,4275.897, 4345.897, 4107.82, 4191.795, 4339.744
1722050305.769,2024-07-26 20:18:25.769,114,false,0.0,4273.974, 4357.82, 4112.82, 4185.513, 4339.744
1722050305.7768,2024-07-26 20:18:25.776,115,false,0.0,4273.077, 4361.539, 4132.051, 4188.718, 4339.103
1722050305.7846,2024-07-26 20:18:25.784,116,false,0.0,4282.308, 4357.051, 4147.949, 4201.154, 4356.026
1722050305.7924,2024-07-26 20:18:25.792,117,false,0.0,4281.539, 4354.231, 4140.256, 4200.0, 4353.718
1722050305.8002,2024-07-26 20:18:25.800,118,false,0.0,4258.205, 4349.231, 4116.282, 4180.641, 4321.41
1722050305.808,2024-07-26 20:18:25.808,119,false,0.0,4239.359, 4353.333, 4108.205, 4170.0, 4306.282
1722050305.8159,2024-07-26 20:18:25.815,120,false,0.0,4239.744, 4361.026, 4117.18, 4179.359, 4314.103
1722050305.8237,2024-07-26 20:18:25.823,121,false,0.0,4244.615, 4347.692, 4117.18, 4192.308, 4318.461
1722050305.8315,2024-07-26 20:18:25.831,122,false,0.0,4250.256, 4335.256, 4111.154, 4197.308, 4321.282
1722050305.8393,2024-07-26 20:18:25.839,123,false,0.0,4259.487, 4355.385, 4115.385, 4197.949, 4326.923
1722050305.8471,2024-07-26 20:18:25.847,124,false,0.0,4261.026, 4375.128, 4120.769, 4198.718, 4327.051
1722050305.8549,2024-07-26 20:18:25.854,125,false,0.0,4255.897, 4361.41, 4118.59, 4200.256, 4324.103
1722050305.8627,2024-07-26 20:18:25.862,126,false,0.0,4261.282, 4348.846, 4119.231, 4203.718, 4328.205
1722050305.8705,2024-07-26 20:18:25.870,127,false,0.0,4273.59, 4361.667, 4126.795, 4207.82, 4342.308
1722050305.8784,2024-07-26 20:18:25.878,0,false,0.0,4271.539, 4367.692, 4128.974, 4205.897, 4347.18
1722050305.8862,2024-07-26 20:18:25.886,1,false,0.0,4260.641, 4359.615, 4121.923, 4199.487, 4333.077
1722050305.894,2024-07-26 20:18:25.894,2,false,0.0,4259.872, 4364.872, 4121.539, 4199.231, 4327.692
1722050305.9018,2024-07-26 20:18:25.901,3,false,0.0,4258.461, 4375.256, 4130.0, 4200.0, 4335.513
1722050305.9096,2024-07-26 20:18:25.909,4,false,0.0,4247.308, 4372.949, 4131.41, 4194.231, 4333.846
1722050305.9174,2024-07-26 20:18:25.917,5,false,0.0,4245.0, 4369.744, 4130.769, 4194.744, 4333.205
1722050305.9252,2024-07-26 20:18:25.925,6,false,0.0,4244.744, 4361.282, 4128.333, 4198.59, 4335.256
1722050305.933,2024-07-26 20:18:25.933,7,false,0.0,4228.333, 4336.923, 4107.18, 4188.59, 4316.667
1722050305.9409,2024-07-26 20:18:25.940,8,false,0.0,4227.18, 4331.923, 4092.564, 4185.128, 4306.026
1722050305.9487,2024-07-26 20:18:25.948,9,false,0.0,4256.282, 4364.487, 4113.846, 4203.846, 4327.949
1722050305.9565,2024-07-26 20:18:25.956,10,false,0.0,4271.41, 4387.564, 4133.205, 4215.256, 4341.667
1722050305.9643,2024-07-26 20:18:25.964,11,false,0.0,4262.436, 4375.641, 4126.026, 4210.256, 4336.41
1722050305.9721,2024-07-26 20:18:25.972,12,false,0.0,4259.359, 4361.923, 4125.769, 4206.795, 4340.769
