Time,Timestamp,Pleasure,Arousal,Dominance
1722050958.9565,2024-07-26 20:29:18.956,0.91,-0.21,0.35
1722050959.4565,2024-07-26 20:29:19.456,0.91,-0.21,0.35
1722050959.9565,2024-07-26 20:29:19.956,0.91,-0.22,0.36
1722050960.4565,2024-07-26 20:29:20.456,0.91,-0.22,0.36
1722050960.9565,2024-07-26 20:29:20.956,0.91,-0.22,0.36
1722050961.4565,2024-07-26 20:29:21.456,0.91,-0.22,0.36
1722050961.9565,2024-07-26 20:29:21.956,0.91,-0.22,0.36
1722050962.4565,2024-07-26 20:29:22.456,0.91,-0.22,0.36
1722050962.9565,2024-07-26 20:29:22.956,0.91,-0.22,0.36
1722050963.4565,2024-07-26 20:29:23.456,0.91,-0.21,0.36
1722050963.9565,2024-07-26 20:29:23.956,0.91,-0.22,0.36
1722050964.4565,2024-07-26 20:29:24.456,0.91,-0.22,0.36
1722050964.9565,2024-07-26 20:29:24.956,0.91,-0.21,0.36
1722050965.4565,2024-07-26 20:29:25.456,0.91,-0.21,0.36
1722050965.9565,2024-07-26 20:29:25.956,0.91,-0.21,0.36
1722050966.4565,2024-07-26 20:29:26.456,0.91,-0.20,0.36
1722050966.9565,2024-07-26 20:29:26.956,0.91,-0.20,0.35
1722050967.4565,2024-07-26 20:29:27.456,0.91,-0.20,0.35
1722050967.9565,2024-07-26 20:29:27.956,0.92,-0.20,0.35
1722050968.4565,2024-07-26 20:29:28.456,0.92,-0.19,0.35
1722050968.9565,2024-07-26 20:29:28.956,0.92,-0.19,0.34
1722050969.4565,2024-07-26 20:29:29.456,0.92,-0.18,0.34
1722050969.9565,2024-07-26 20:29:29.956,0.92,-0.18,0.34
1722050970.4565,2024-07-26 20:29:30.456,0.92,-0.18,0.35
1722050970.9565,2024-07-26 20:29:30.956,0.92,-0.18,0.34
1722050971.4565,2024-07-26 20:29:31.456,0.92,-0.18,0.34
1722050971.9565,2024-07-26 20:29:31.956,0.92,-0.17,0.35
1722050972.4565,2024-07-26 20:29:32.456,0.92,-0.18,0.35
1722050972.9565,2024-07-26 20:29:32.956,0.92,-0.18,0.35
1722050973.4565,2024-07-26 20:29:33.456,0.92,-0.19,0.35
1722050973.9565,2024-07-26 20:29:33.956,0.92,-0.18,0.35
1722050974.4565,2024-07-26 20:29:34.456,0.91,-0.19,0.36
1722050974.9565,2024-07-26 20:29:34.956,0.91,-0.20,0.36
1722050975.4565,2024-07-26 20:29:35.456,0.91,-0.20,0.36
1722050975.9565,2024-07-26 20:29:35.956,0.91,-0.20,0.37
1722050976.4565,2024-07-26 20:29:36.456,0.91,-0.21,0.37
1722050976.9565,2024-07-26 20:29:36.956,0.91,-0.21,0.37
1722050977.4565,2024-07-26 20:29:37.456,0.90,-0.22,0.37
1722050977.9565,2024-07-26 20:29:37.956,0.90,-0.22,0.37
1722050978.4565,2024-07-26 20:29:38.456,0.90,-0.21,0.37
1722050978.9565,2024-07-26 20:29:38.956,0.90,-0.22,0.37
1722050979.4565,2024-07-26 20:29:39.456,0.90,-0.22,0.37
1722050979.9565,2024-07-26 20:29:39.956,0.90,-0.22,0.37
