time,timestamp,actionEye,actionUpperFace,powerUpperFace,actionLowerFace,powerLowerFace
1722054287.7574,2024-07-26 21:24:47.757,neutral,frown,0.95,clench,0.8
1722054287.7887,2024-07-26 21:24:47.788,neutral,frown,0.95,clench,0.8
1722054287.8199,2024-07-26 21:24:47.819,neutral,frown,0.95,clench,0.8
1722054287.8512,2024-07-26 21:24:47.851,neutral,frown,0.95,clench,0.8
1722054287.8824,2024-07-26 21:24:47.882,neutral,frown,0.95,clench,0.8
1722054287.9137,2024-07-26 21:24:47.913,neutral,frown,0.95,clench,0.8
1722054287.9449,2024-07-26 21:24:47.944,neutral,frown,0.95,clench,0.8
1722054287.9762,2024-07-26 21:24:47.976,neutral,frown,0.95,clench,0.8
1722054288.0074,2024-07-26 21:24:48.007,neutral,frown,0.95,clench,0.8
1722054288.0387,2024-07-26 21:24:48.038,neutral,frown,0.95,clench,0.8
1722054288.0699,2024-07-26 21:24:48.069,neutral,frown,0.95,clench,0.8
1722054288.1012,2024-07-26 21:24:48.101,neutral,frown,0.95,clench,0.8
1722054288.1324,2024-07-26 21:24:48.132,neutral,frown,0.95,clench,0.8
1722054288.1637,2024-07-26 21:24:48.163,neutral,frown,0.95,clench,0.8
1722054288.1949,2024-07-26 21:24:48.194,neutral,frown,0.95,clench,0.8
1722054288.2262,2024-07-26 21:24:48.226,neutral,frown,0.95,clench,0.8
1722054288.2574,2024-07-26 21:24:48.257,neutral,frown,0.95,clench,0.8
1722054288.2887,2024-07-26 21:24:48.288,neutral,frown,0.95,clench,0.8
1722054288.3199,2024-07-26 21:24:48.319,neutral,frown,0.95,clench,0.8
1722054288.3512,2024-07-26 21:24:48.351,neutral,frown,0.95,clench,0.8
1722054288.3824,2024-07-26 21:24:48.382,neutral,frown,0.95,clench,0.8
1722054288.4137,2024-07-26 21:24:48.413,neutral,frown,0.95,clench,0.8
1722054288.4449,2024-07-26 21:24:48.444,neutral,frown,0.95,clench,0.8
1722054288.4762,2024-07-26 21:24:48.476,neutral,frown,0.95,clench,0.8
1722054288.5074,2024-07-26 21:24:48.507,neutral,frown,0.95,clench,0.8
1722054288.5387,2024-07-26 21:24:48.538,neutral,frown,0.95,clench,0.8
1722054288.5699,2024-07-26 21:24:48.569,neutral,frown,0.95,clench,0.8
1722054288.6012,2024-07-26 21:24:48.601,neutral,frown,0.95,clench,0.8
1722054288.6324,2024-07-26 21:24:48.632,neutral,frown,0.95,clench,0.8
1722054288.6637,2024-07-26 21:24:48.663,neutral,frown,0.95,clench,0.8
1722054288.6949,2024-07-26 21:24:48.694,neutral,frown,0.95,clench,0.8
1722054288.7262,2024-07-26 21:24:48.726,neutral,frown,0.95,clench,0.8
1722054288.7574,2024-07-26 21:24:48.757,neutral,frown,0.95,clench,0.8
1722054288.7887,2024-07-26 21:24:48.788,neutral,frown,0.95,clench,0.8
1722054288.8199,2024-07-26 21:24:48.819,neutral,frown,0.95,clench,0.8
1722054288.8512,2024-07-26 21:24:48.851,neutral,frown,0.95,clench,0.8
1722054288.8824,2024-07-26 21:24:48.882,neutral,frown,0.95,clench,0.8
1722054288.9137,2024-07-26 21:24:48.913,neutral,frown,0.95,clench,0.8
1722054288.9449,2024-07-26 21:24:48.944,neutral,frown,0.95,clench,0.8
1722054288.9762,2024-07-26 21:24:48.976,neutral,frown,0.95,clench,0.8
1722054289.0074,2024-07-26 21:24:49.007,neutral,frown,0.95,clench,0.8
1722054289.0387,2024-07-26 21:24:49.038,neutral,frown,0.95,clench,0.8
1722054289.0699,2024-07-26 21:24:49.069,neutral,frown,0.95,clench,0.8
1722054289.1012,2024-07-26 21:24:49.101,neutral,frown,0.95,clench,0.8
1722054289.1324,2024-07-26 21:24:49.132,neutral,frown,0.95,clench,0.8
1722054289.1637,2024-07-26 21:24:49.163,neutral,frown,0.95,clench,0.8
1722054289.1949,2024-07-26 21:24:49.194,neutral,frown,0.95,clench,0.8
1722054289.2262,2024-07-26 21:24:49.226,neutral,frown,0.95,clench,0.8
1722054289.2574,2024-07-26 21:24:49.257,neutral,frown,0.95,clench,0.8
1722054289.2887,2024-07-26 21:24:49.288,neutral,frown,0.95,clench,0.8
1722054289.3199,2024-07-26 21:24:49.319,neutral,frown,0.95,clench,0.8
1722054289.3512,2024-07-26 21:24:49.351,neutral,frown,0.95,clench,0.8
1722054289.3824,2024-07-26 21:24:49.382,neutral,frown,0.95,clench,0.8
1722054289.4137,2024-07-26 21:24:49.413,neutral,frown,0.95,clench,0.8
1722054289.4449,2024-07-26 21:24:49.444,neutral,frown,0.95,clench,0.8
1722054289.4762,2024-07-26 21:24:49.476,neutral,frown,0.95,clench,0.8
1722054289.5074,2024-07-26 21:24:49.507,neutral,frown,0.95,clench,0.8
1722054289.5387,2024-07-26 21:24:49.538,neutral,frown,0.95,clench,0.8
1722054289.5699,2024-07-26 21:24:49.569,neutral,frown,0.95,clench,0.8
1722054289.6012,2024-07-26 21:24:49.601,neutral,frown,0.95,clench,0.8
1722054289.6324,2024-07-26 21:24:49.632,neutral,frown,0.95,clench,0.8
1722054289.6637,2024-07-26 21:24:49.663,neutral,frown,0.95,clench,0.8
1722054289.6949,2024-07-26 21:24:49.694,neutral,frown,0.95,clench,0.8
1722054289.7262,2024-07-26 21:24:49.726,neutral,frown,0.95,clench,0.8
1722054289.7574,2024-07-26 21:24:49.757,neutral,frown,0.95,clench,0.8
1722054289.7887,2024-07-26 21:24:49.788,neutral,frown,0.95,clench,0.8
1722054289.8199,2024-07-26 21:24:49.819,neutral,frown,0.95,clench,0.8
1722054289.8512,2024-07-26 21:24:49.851,neutral,frown,0.95,clench,0.8
1722054289.8824,2024-07-26 21:24:49.882,neutral,frown,0.95,clench,0.8
1722054289.9137,2024-07-26 21:24:49.913,neutral,frown,0.95,clench,0.8
1722054289.9449,2024-07-26 21:24:49.944,neutral,frown,0.95,clench,0.8
1722054289.9762,2024-07-26 21:24:49.976,neutral,frown,0.95,clench,0.8
1722054290.0074,2024-07-26 21:24:50.007,neutral,frown,0.95,clench,0.8
