Time,Timestamp,Counter,Interpolated,Accelerometer X,Accelerometer Y,Accelerometer Z,Magnetometer X,Magnetometer Y,Magnetometer Z,Quaternion 0,Quaternion 1,Quaternion 2,Quaternion 3
1722054287.7574,2024-07-26 21:24:47.757,19,false,0.447485,-0.304626,0.580994,0.607788,0.883314,-0.432868,-0.135622,-0.045443,0.001682,0.054993
1722054287.7887,2024-07-26 21:24:47.788,20,false,0.447409,-0.304626,0.581116,0.607727,0.883314,-0.432868,-0.135622,-0.045391,0.001685,0.055024
1722054287.8199,2024-07-26 21:24:47.819,21,false,0.447409,-0.304626,0.581116,0.607727,0.889662,-0.444099,-0.141482,-0.045393,0.001614,0.0551
1722054287.8512,2024-07-26 21:24:47.851,22,false,0.447281,-0.304688,0.581055,0.607849,0.885267,-0.427008,-0.137087,-0.045395,0.001489,0.055108
1722054287.8824,2024-07-26 21:24:47.882,23,false,0.447156,-0.304871,0.581055,0.607849,0.885267,-0.427008,-0.137087,-0.045323,0.001548,0.05509
1722054287.9137,2024-07-26 21:24:47.913,24,false,0.447156,-0.304993,0.581055,0.607788,0.89015,-0.438239,-0.136599,-0.045332,0.001552,0.055001
1722054287.9449,2024-07-26 21:24:47.944,25,false,0.447356,-0.304932,0.580933,0.607788,0.880873,-0.432868,-0.137575,-0.04534,0.001616,0.055128
1722054287.9762,2024-07-26 21:24:47.976,26,false,0.447401,-0.304993,0.580994,0.607666,0.880873,-0.432868,-0.137575,-0.045347,0.001674,0.055243
1722054288.0074,2024-07-26 21:24:48.007,27,false,0.44728,-0.305176,0.581055,0.607605,0.887221,-0.441169,-0.139528,-0.045475,0.001641,0.055114
1722054288.0387,2024-07-26 21:24:48.038,28,false,0.447121,-0.305176,0.581177,0.607605,0.886732,-0.431403,-0.137087,-0.045518,0.001587,0.055157
1722054288.0699,2024-07-26 21:24:48.069,29,false,0.447,-0.305237,0.581238,0.607605,0.882338,-0.426032,-0.137087,-0.045446,0.001648,0.055159
1722054288.1012,2024-07-26 21:24:48.101,30,false,0.447163,-0.305237,0.581177,0.607544,0.879896,-0.439216,-0.137575,-0.04543,0.001654,0.055112
