Time,Timestamp,BatteryLevel,BatteryPercent,WirelessSignal,Sensor 0,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Overall Quality
1722054624.2106,2024-07-26 21:30:24.210,4,100,1.0,4,4,4,4,4,100
1722054624.7262,2024-07-26 21:30:24.726,4,100,1.0,4,4,4,4,4,100
1722054625.2262,2024-07-26 21:30:25.226,4,100,1.0,4,4,4,4,4,100
1722054625.7262,2024-07-26 21:30:25.726,4,100,1.0,4,4,4,4,4,100
1722054626.2262,2024-07-26 21:30:26.226,4,100,1.0,4,4,4,4,4,100
1722054626.7262,2024-07-26 21:30:26.726,4,100,1.0,4,4,4,4,4,100
1722054627.2262,2024-07-26 21:30:27.226,4,100,1.0,4,4,4,4,4,100
1722054627.7262,2024-07-26 21:30:27.726,4,100,1.0,4,4,4,4,4,100
1722054628.2106,2024-07-26 21:30:28.210,4,100,1.0,4,4,4,4,4,100
1722054628.7106,2024-07-26 21:30:28.710,4,100,1.0,4,4,4,4,4,100
1722054629.2262,2024-07-26 21:30:29.226,4,100,1.0,4,4,4,4,4,100
1722054629.7262,2024-07-26 21:30:29.726,4,100,1.0,4,4,4,4,4,100
1722054630.2262,2024-07-26 21:30:30.226,4,100,1.0,4,4,4,4,4,100
1722054630.7262,2024-07-26 21:30:30.726,4,100,1.0,4,4,4,4,4,100
1722054631.2106,2024-07-26 21:30:31.210,4,100,1.0,4,4,4,4,4,100
1722054631.7262,2024-07-26 21:30:31.726,4,100,1.0,4,4,4,4,4,100
1722054632.2262,2024-07-26 21:30:32.226,4,100,1.0,4,4,4,4,4,100
1722054632.7262,2024-07-26 21:30:32.726,4,100,1.0,4,4,4,4,4,100
1722054633.2106,2024-07-26 21:30:33.210,4,100,1.0,4,4,4,4,4,100
1722054633.7106,2024-07-26 21:30:33.710,4,100,1.0,4,4,4,4,4,100
1722054634.2106,2024-07-26 21:30:34.210,4,100,1.0,4,4,4,4,4,100
1722054634.7262,2024-07-26 21:30:34.726,4,100,1.0,4,4,4,4,4,100
1722054635.2106,2024-07-26 21:30:35.210,4,100,1.0,4,4,4,4,4,100
1722054635.7028,2024-07-26 21:30:35.702,4,100,1.0,4,4,4,4,4,100
1722054636.2106,2024-07-26 21:30:36.210,4,100,1.0,4,4,4,4,4,100
1722054636.7262,2024-07-26 21:30:36.726,4,100,1.0,4,4,4,4,4,100
1722054637.2106,2024-07-26 21:30:37.210,4,100,1.0,4,4,4,4,4,100
1722054637.7262,2024-07-26 21:30:37.726,4,100,1.0,4,4,4,4,4,100
1722054638.2262,2024-07-26 21:30:38.226,4,100,1.0,4,4,4,4,4,100
1722054638.7262,2024-07-26 21:30:38.726,4,100,1.0,4,4,4,4,4,100
1722054639.2106,2024-07-26 21:30:39.210,4,100,1.0,4,4,4,4,4,100
1722054639.7106,2024-07-26 21:30:39.710,4,100,1.0,4,4,4,4,4,100
1722054640.2106,2024-07-26 21:30:40.210,4,100,1.0,4,4,4,4,4,100
1722054640.7106,2024-07-26 21:30:40.710,4,100,1.0,4,4,4,4,4,100
1722054641.2262,2024-07-26 21:30:41.226,4,100,1.0,4,4,4,4,4,100
1722054641.7106,2024-07-26 21:30:41.710,4,100,1.0,4,4,4,4,4,100
1722054642.2106,2024-07-26 21:30:42.210,4,100,1.0,4,4,4,4,4,100
1722054642.7106,2024-07-26 21:30:42.710,4,100,1.0,4,4,4,4,4,100
1722054643.2262,2024-07-26 21:30:43.226,4,100,1.0,4,4,4,4,4,100
1722054643.7262,2024-07-26 21:30:43.726,4,100,1.0,4,4,4,4,4,100
1722054644.2262,2024-07-26 21:30:44.226,4,100,1.0,4,4,4,4,4,100
1722054644.7262,2024-07-26 21:30:44.726,4,100,1.0,4,4,4,4,4,100
1722054645.2106,2024-07-26 21:30:45.210,4,100,1.0,4,4,4,4,4,100
1722054645.7106,2024-07-26 21:30:45.710,4,100,1.0,4,4,4,4,4,100
